Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,313,80.6,74.0-87.3
H.S. or G.E.D.,"1,098",86.6,83.5-89.7
Some post-H.S.,"1,261",92.5,90.5-94.4
College graduate,"1,444",97.3,96.3-98.4
Alaska,,,
Less than H.S.,217,81.1,73.8-88.4
H.S. or G.E.D.,"1,242",87.7,85.3-90.1
Some post-H.S.,"1,557",93.0,91.4-94.6
College graduate,"2,197",97.1,96.2-98.1
Arizona,,,
Less than H.S.,471,66.9,60.8-72.9
H.S. or G.E.D.,"1,837",87.4,84.9-89.9
Some post-H.S.,"3,000",92.9,91.3-94.5
College graduate,"3,815",96.3,95.2-97.4
Arkansas,,,
Less than H.S.,315,83.6,78.0-89.2
H.S. or G.E.D.,"1,488",88.2,85.8-90.6
Some post-H.S.,"1,225",90.9,88.6-93.2
College graduate,"1,635",96.4,95.3-97.6
California,,,
Less than H.S.,574,81.3,78.0-84.6
H.S. or G.E.D.,"1,737",91.2,89.6-92.9
Some post-H.S.,"2,495",95.4,94.5-96.4
College graduate,"4,985",97.6,97.1-98.1
Colorado,,,
Less than H.S.,305,62.2,56.9-67.6
H.S. or G.E.D.,"1,439",87.3,85.4-89.2
Some post-H.S.,"2,108",93.6,92.5-94.8
College graduate,"4,420",97.3,96.8-97.8
Connecticut,,,
Less than H.S.,342,71.3,65.9-76.6
H.S. or G.E.D.,"1,715",93.0,91.4-94.5
Some post-H.S.,"1,960",95.0,93.7-96.2
College graduate,"4,770",98.5,98.0-99.0
Delaware,,,
Less than H.S.,174,74.4,67.3-81.4
H.S. or G.E.D.,939,94.3,92.5-96.0
Some post-H.S.,965,94.2,91.9-96.6
College graduate,"1,557",98.3,97.4-99.1
District of Columbia,,,
Less than H.S.,104,92.0,84.3-99.6
H.S. or G.E.D.,411,95.7,93.4-98.0
Some post-H.S.,406,97.5,95.7-99.3
College graduate,"2,115",98.1,97.3-99.0
Florida,,,
Less than H.S.,580,72.8,66.6-78.9
H.S. or G.E.D.,"2,937",84.7,81.9-87.4
Some post-H.S.,"3,529",90.1,88.2-92.0
College graduate,"4,697",95.3,94.1-96.5
Georgia,,,
Less than H.S.,477,64.7,59.4-70.1
H.S. or G.E.D.,"1,838",84.4,82.1-86.8
Some post-H.S.,"2,148",89.9,88.1-91.6
College graduate,"3,482",95.5,94.4-96.6
Hawaii,,,
Less than H.S.,214,94.3,90.7-98.0
H.S. or G.E.D.,"1,829",96.9,96.0-97.8
Some post-H.S.,"2,097",98.1,97.5-98.8
College graduate,"3,326",99.0,98.6-99.3
Idaho,,,
Less than H.S.,255,79.7,74.5-84.8
H.S. or G.E.D.,"1,410",89.6,87.6-91.5
Some post-H.S.,"1,833",93.3,91.9-94.6
College graduate,"2,137",97.4,96.7-98.2
Illinois,,,
Less than H.S.,217,68.1,61.5-74.7
H.S. or G.E.D.,730,85.9,83.3-88.5
Some post-H.S.,938,94.3,92.6-96.1
College graduate,"1,664",97.1,96.3-98.0
Indiana,,,
Less than H.S.,488,81.0,76.9-85.1
H.S. or G.E.D.,"2,670",91.5,90.1-92.9
Some post-H.S.,"2,527",95.1,94.0-96.1
College graduate,"3,609",97.3,96.6-98.0
Iowa,,,
Less than H.S.,433,72.3,67.6-77.0
H.S. or G.E.D.,"2,443",94.8,93.7-95.9
Some post-H.S.,"2,423",97.5,96.7-98.2
College graduate,"2,802",98.0,97.4-98.7
Kansas,,,
Less than H.S.,339,82.2,77.3-87.2
H.S. or G.E.D.,"2,485",88.0,86.0-90.0
Some post-H.S.,"3,119",92.4,91.0-93.8
College graduate,"4,283",96.7,95.9-97.4
Kentucky,,,
Less than H.S.,325,94.2,90.8-97.6
H.S. or G.E.D.,"1,207",95.4,93.9-96.9
Some post-H.S.,"1,090",97.1,95.7-98.6
College graduate,"1,167",98.3,97.5-99.1
Louisiana,,,
Less than H.S.,335,85.8,80.9-90.6
H.S. or G.E.D.,"1,439",91.6,89.5-93.8
Some post-H.S.,"1,403",95.1,93.7-96.4
College graduate,"1,944",96.2,95.1-97.4
Maine,,,
Less than H.S.,313,92.4,88.4-96.3
H.S. or G.E.D.,"2,435",93.7,92.1-95.4
Some post-H.S.,"2,753",96.1,95.2-97.1
College graduate,"4,497",97.6,97.0-98.3
Maryland,,,
Less than H.S.,605,59.2,54.6-63.8
H.S. or G.E.D.,"3,503",92.7,91.3-94.0
Some post-H.S.,"3,328",95.9,94.8-96.9
College graduate,"7,459",98.2,97.8-98.7
Massachusetts,,,
Less than H.S.,550,94.4,92.1-96.6
H.S. or G.E.D.,"1,866",97.1,96.2-98.1
Some post-H.S.,"2,248",98.2,97.4-98.9
College graduate,"5,702",99.1,98.7-99.4
Michigan,,,
Less than H.S.,318,86.6,82.0-91.2
H.S. or G.E.D.,"2,239",94.1,92.8-95.3
Some post-H.S.,"2,558",97.1,96.3-97.9
College graduate,"4,164",98.5,98.0-99.0
Minnesota,,,
Less than H.S.,390,76.1,71.4-80.9
H.S. or G.E.D.,"2,930",94.0,92.9-95.1
Some post-H.S.,"4,509",97.4,96.8-97.9
College graduate,"7,749",98.2,97.8-98.6
Mississippi,,,
Less than H.S.,295,76.5,70.5-82.5
H.S. or G.E.D.,913,88.6,86.1-91.0
Some post-H.S.,"1,167",92.3,90.5-94.1
College graduate,"1,307",96.1,95.0-97.2
Missouri,,,
Less than H.S.,366,80.1,74.8-85.3
H.S. or G.E.D.,"1,893",88.9,87.0-90.8
Some post-H.S.,"1,913",91.1,89.3-92.8
College graduate,"2,533",97.6,96.8-98.3
Montana,,,
Less than H.S.,259,87.5,82.7-92.2
H.S. or G.E.D.,"1,595",90.4,88.6-92.3
Some post-H.S.,"1,926",94.6,93.4-95.8
College graduate,"2,644",96.4,95.5-97.4
Nebraska,,,
Less than H.S.,295,64.6,58.7-70.4
H.S. or G.E.D.,"1,984",90.5,88.6-92.3
