Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,130,34.9,28.7-41.2
H.S. or G.E.D.,201,14.4,12.0-16.8
Some post-H.S.,107,6.8,5.3-8.4
College graduate,49,2.3,1.5-3.0
Alaska,,,
Less than H.S.,38,23.8,15.3-32.4
H.S. or G.E.D.,104,12.0,8.5-15.5
Some post-H.S.,58,4.8,3.0-6.7
College graduate,27,2.1,1.0-3.3
Arizona,,,
Less than H.S.,185,24.4,20.0-28.8
H.S. or G.E.D.,309,10.9,9.2-12.6
Some post-H.S.,230,6.6,5.4-7.9
College graduate,102,2.3,1.7-2.9
Arkansas,,,
Less than H.S.,115,31.7,24.7-38.7
H.S. or G.E.D.,186,12.0,9.7-14.2
Some post-H.S.,116,11.5,8.9-14.2
College graduate,23,*,
California,,,
Less than H.S.,167,39.1,33.3-44.9
H.S. or G.E.D.,129,16.2,12.7-19.8
Some post-H.S.,133,10.9,8.2-13.6
College graduate,82,3.2,2.3-4.2
Colorado,,,
Less than H.S.,98,21.3,17.1-25.5
H.S. or G.E.D.,168,8.0,6.6-9.4
Some post-H.S.,150,5.4,4.4-6.4
College graduate,93,1.8,1.3-2.2
Connecticut,,,
Less than H.S.,99,22.6,17.0-28.2
H.S. or G.E.D.,167,8.0,6.0-10.0
Some post-H.S.,112,5.6,3.9-7.3
College graduate,62,1.9,1.0-2.9
Delaware,,,
Less than H.S.,146,33.2,26.1-40.3
H.S. or G.E.D.,121,9.6,7.0-12.2
Some post-H.S.,56,4.7,2.9-6.6
College graduate,24,1.7,0.8-2.6
District of Columbia,,,
Less than H.S.,38,36.4,25.2-47.6
H.S. or G.E.D.,89,20.5,15.7-25.4
Some post-H.S.,53,16.2,10.6-21.8
College graduate,31,1.3,0.8-1.9
Florida,,,
Less than H.S.,331,35.2,27.9-42.6
H.S. or G.E.D.,389,13.1,9.8-16.5
Some post-H.S.,242,6.4,4.8-8.1
College graduate,109,3.2,2.3-4.2
Georgia,,,
Less than H.S.,247,31.3,25.9-36.7
H.S. or G.E.D.,281,11.2,9.0-13.4
Some post-H.S.,188,8.8,6.7-11.0
College graduate,85,2.3,1.5-3.1
Hawaii,,,
Less than H.S.,45,19.6,12.4-26.6
H.S. or G.E.D.,201,9.1,7.5-10.7
Some post-H.S.,161,5.2,4.2-6.2
College graduate,75,1.8,1.3-2.3
Idaho,,,
Less than H.S.,41,13.9,8.4-19.4
H.S. or G.E.D.,97,6.8,4.9-8.7
Some post-H.S.,102,4.0,3.0-5.0
College graduate,40,1.6,0.9-2.4
Illinois,,,
Less than H.S.,19,13.7,5.7-21.7
H.S. or G.E.D.,61,7.5,5.3-9.7
Some post-H.S.,54,7.5,5.1-9.9
College graduate,25,1.3,0.7-1.9
Indiana,,,
Less than H.S.,129,22.8,18.7-27.0
