Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,24,11.7,6.7-16.8
H.S. or G.E.D.,227,28.4,24.5-32.4
Some post-H.S.,343,36.6,32.6-40.6
College graduate,421,32.2,29.1-35.4
Alaska,,,
Less than H.S.,26,18.1,10.5-25.7
H.S. or G.E.D.,340,33.0,29.2-36.8
Some post-H.S.,481,39.7,36.1-43.3
College graduate,719,34.9,32.1-37.7
Arizona,,,
Less than H.S.,53,13.1,8.8-17.4
H.S. or G.E.D.,533,29.6,26.5-32.6
Some post-H.S.,"1,006",34.8,32.2-37.4
College graduate,"1,545",31.7,29.7-33.7
Arkansas,,,
Less than H.S.,30,12.7,6.8-18.7
H.S. or G.E.D.,290,25.7,22.6-28.8
Some post-H.S.,349,29.8,26.6-33.0
College graduate,524,34.8,31.9-37.7
California,,,
Less than H.S.,67,9.9,7.1-12.6
H.S. or G.E.D.,379,23.7,21.0-26.5
Some post-H.S.,686,30.8,28.1-33.5
College graduate,"1,147",23.3,21.2-25.4
Colorado,,,
Less than H.S.,48,16.7,11.9-21.5
H.S. or G.E.D.,345,28.7,25.6-31.9
Some post-H.S.,587,35.7,32.8-38.5
College graduate,"1,148",28.0,26.3-29.7
Connecticut,,,
Less than H.S.,45,16.3,10.1-22.5
H.S. or G.E.D.,422,30.3,26.6-34.0
Some post-H.S.,577,34.7,31.3-38.2
College graduate,"1,019",22.7,20.9-24.6
Delaware,,,
Less than H.S.,18,12.7,6.2-19.2
H.S. or G.E.D.,220,30.1,25.6-34.6
Some post-H.S.,307,36.8,31.9-41.8
College graduate,579,34.2,30.8-37.7
District of Columbia,,,
Less than H.S.,2,*,
H.S. or G.E.D.,58,16.3,10.1-22.5
Some post-H.S.,88,24.3,18.2-30.5
College graduate,403,23.2,20.7-25.8
Florida,,,
Less than H.S.,65,8.7,4.4-12.9
H.S. or G.E.D.,691,25.5,22.3-28.8
Some post-H.S.,922,31.2,27.8-34.6
College graduate,"1,475",35.0,32.0-37.9
Georgia,,,
Less than H.S.,27,8.9,4.7-13.1
H.S. or G.E.D.,374,28.4,25.0-31.8
Some post-H.S.,500,32.8,29.6-36.0
College graduate,989,30.1,27.8-32.5
Hawaii,,,
Less than H.S.,26,18.0,10.4-25.6
H.S. or G.E.D.,486,33.4,30.1-36.8
Some post-H.S.,681,38.2,35.1-41.4
College graduate,"1,079",32.3,30.0-34.6
Idaho,,,
Less than H.S.,47,15.3,10.6-20.0
H.S. or G.E.D.,434,29.1,26.1-32.1
Some post-H.S.,591,36.8,33.6-40.0
