Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,60,27.2,18.7-35.6
H.S. or G.E.D.,101,8.4,6.3-10.4
Some post-H.S.,75,5.3,3.8-6.8
College graduate,23,*,
Alaska,,,
Less than H.S.,42,19.4,12.1-26.7
H.S. or G.E.D.,104,7.2,5.3-9.1
Some post-H.S.,66,3.5,2.4-4.5
College graduate,37,1.6,0.8-2.4
Arizona,,,
Less than H.S.,126,25.2,19.2-31.2
H.S. or G.E.D.,192,9.2,7.1-11.2
Some post-H.S.,172,4.9,3.6-6.2
College graduate,84,1.6,1.1-2.1
Arkansas,,,
Less than H.S.,74,21.9,16.0-27.8
H.S. or G.E.D.,171,10.6,8.6-12.6
Some post-H.S.,76,5.7,4.0-7.4
College graduate,32,2.1,1.2-3.0
California,,,
Less than H.S.,125,23.0,18.4-27.5
H.S. or G.E.D.,153,7.6,5.9-9.3
Some post-H.S.,164,5.1,4.1-6.1
College graduate,124,2.9,2.0-3.8
Colorado,,,
Less than H.S.,53,11.9,7.8-15.9
H.S. or G.E.D.,95,5.8,4.3-7.3
Some post-H.S.,95,4.5,3.4-5.6
College graduate,68,1.4,1.0-1.7
Connecticut,,,
Less than H.S.,86,25.0,18.0-31.9
H.S. or G.E.D.,128,6.3,4.8-7.7
Some post-H.S.,76,3.1,2.1-4.0
College graduate,54,1.2,0.7-1.7
Delaware,,,
Less than H.S.,48,15.9,10.5-21.4
H.S. or G.E.D.,57,5.2,3.5-7.0
Some post-H.S.,28,3.0,1.6-4.3
College graduate,29,1.3,0.7-1.9
District of Columbia,,,
Less than H.S.,20,22.8,11.4-34.2
H.S. or G.E.D.,73,21.0,15.1-27.0
Some post-H.S.,38,12.0,7.2-16.9
College graduate,24,1.3,0.7-1.8
Florida,,,
Less than H.S.,135,21.1,14.9-27.3
H.S. or G.E.D.,219,6.5,4.8-8.1
Some post-H.S.,174,4.5,2.7-6.3
College graduate,87,1.8,1.0-2.5
Georgia,,,
Less than H.S.,123,22.3,16.8-27.7
H.S. or G.E.D.,172,8.0,6.2-9.7
Some post-H.S.,123,5.7,4.3-7.1
College graduate,40,1.4,0.7-2.0
Hawaii,,,
Less than H.S.,43,18.8,11.8-25.8
H.S. or G.E.D.,161,7.7,6.1-9.3
Some post-H.S.,109,4.3,3.1-5.4
College graduate,85,1.9,1.3-2.5
Idaho,,,
Less than H.S.,40,13.8,8.5-19.1
H.S. or G.E.D.,62,3.5,2.6-4.5
Some post-H.S.,83,4.1,3.1-5.1
College graduate,36,1.3,0.8-1.8
Illinois,,,
Less than H.S.,78,26.3,19.8-32.7
H.S. or G.E.D.,80,8.2,6.0-10.4
Some post-H.S.,62,4.9,3.4-6.3
College graduate,50,2.6,1.6-3.6
Indiana,,,
Less than H.S.,106,20.9,16.6-25.2
H.S. or G.E.D.,211,7.3,6.0-8.5
Some post-H.S.,139,5.0,4.0-6.1
College graduate,72,2.1,1.5-2.7
Iowa,,,
Less than H.S.,65,13.3,9.0-17.5
H.S. or G.E.D.,146,6.1,4.8-7.3
Some post-H.S.,93,4.4,3.2-5.5
College graduate,47,1.7,1.1-2.3
Kansas,,,
Less than H.S.,59,17.3,12.0-22.6
H.S. or G.E.D.,131,5.9,4.4-7.4
Some post-H.S.,155,5.3,4.2-6.4
College graduate,51,1.2,0.8-1.5
Kentucky,,,
Less than H.S.,56,18.5,12.4-24.6
H.S. or G.E.D.,104,8.0,5.7-10.3
Some post-H.S.,63,5.8,3.7-7.8
College graduate,21,1.3,0.6-2.1
Louisiana,,,
Less than H.S.,82,24.7,18.9-30.5
H.S. or G.E.D.,168,11.8,9.6-13.9
Some post-H.S.,96,6.2,4.6-7.7
College graduate,43,1.8,1.2-2.5
Maine,,,
Less than H.S.,40,15.5,8.9-22.0
H.S. or G.E.D.,173,6.7,5.3-8.0
Some post-H.S.,125,4.3,3.3-5.3
College graduate,76,1.2,0.9-1.6
Maryland,,,
Less than H.S.,142,15.1,11.7-18.5
H.S. or G.E.D.,203,5.3,4.1-6.6
Some post-H.S.,133,3.5,2.5-4.5
College graduate,96,1.4,0.9-1.8
Massachusetts,,,
Less than H.S.,83,22.4,16.7-28.1
H.S. or G.E.D.,109,5.8,4.3-7.2
Some post-H.S.,103,3.8,2.9-4.7
College graduate,96,1.8,1.3-2.4
Michigan,,,
Less than H.S.,78,23.0,17.4-28.6
H.S. or G.E.D.,180,8.4,7.0-9.8
Some post-H.S.,123,4.5,3.5-5.4
College graduate,77,1.9,1.4-2.5
Minnesota,,,
Less than H.S.,76,16.0,11.5-20.4
H.S. or G.E.D.,170,6.2,5.0-7.5
Some post-H.S.,179,3.7,3.0-4.4
College graduate,115,1.3,1.0-1.6
Mississippi,,,
Less than H.S.,79,23.2,17.2-29.1
H.S. or G.E.D.,112,12.6,9.9-15.2
Some post-H.S.,73,5.1,3.7-6.6
College graduate,34,2.2,1.3-3.0
Missouri,,,
Less than H.S.,109,27.1,20.9-33.3
H.S. or G.E.D.,224,10.8,8.9-12.7
Some post-H.S.,124,5.3,4.1-6.6
College graduate,66,2.2,1.5-2.9
Montana,,,
Less than H.S.,48,17.3,11.7-22.9
H.S. or G.E.D.,136,7.7,6.2-9.3
Some post-H.S.,120,6.1,4.7-7.6
College graduate,51,2.2,1.4-3.0
Nebraska,,,
Less than H.S.,89,23.7,17.9-29.4
H.S. or G.E.D.,165,8.0,6.3-9.8
Some post-H.S.,109,4.6,3.4-5.7
College graduate,42,1.2,0.7-1.7
Nevada,,,
Less than H.S.,32,15.4,9.2-21.5
H.S. or G.E.D.,52,5.7,3.7-7.6
Some post-H.S.,43,4.4,2.6-6.2
College graduate,17,*,
New Hampshire,,,
Less than H.S.,29,21.1,11.4-30.7
H.S. or G.E.D.,89,4.9,3.6-6.2
Some post-H.S.,68,4.5,3.0-6.1
College graduate,31,0.9,0.5-1.2
New Jersey,,,
Less than H.S.,59,22.0,15.7-28.3
H.S. or G.E.D.,102,7.3,5.6-8.9
Some post-H.S.,64,5.1,2.7-7.5
College graduate,54,1.5,1.0-2.0
New Mexico,,,
Less than H.S.,101,21.7,16.8-26.6
H.S. or G.E.D.,112,11.0,8.4-13.5
Some post-H.S.,79,6.0,4.3-7.7
College graduate,40,2.5,1.5-3.5
New York,,,
Less than H.S.,222,24.5,20.7-28.3
H.S. or G.E.D.,283,8.4,7.1-9.7
Some post-H.S.,194,6.0,4.8-7.1
College graduate,153,2.2,1.6-2.8
North Carolina,,,
Less than H.S.,56,25.2,16.7-33.7
H.S. or G.E.D.,63,7.5,5.1-9.8
Some post-H.S.,73,7.5,5.0-10.0
College graduate,33,1.8,1.1-2.5
North Dakota,,,
Less than H.S.,14,*,
H.S. or G.E.D.,48,5.8,3.9-7.7
Some post-H.S.,56,4.8,3.3-6.3
College graduate,25,1.7,0.9-2.5
Ohio,,,
Less than H.S.,110,19.8,14.6-25.0
H.S. or G.E.D.,343,7.3,6.2-8.4
Some post-H.S.,272,6.2,5.1-7.3
College graduate,97,1.6,1.2-2.1
Oklahoma,,,
Less than H.S.,64,16.1,11.9-20.3
H.S. or G.E.D.,107,8.5,6.7-10.3
Some post-H.S.,121,6.9,5.5-8.3
College graduate,45,2.6,1.7-3.5
Oregon,,,
Less than H.S.,44,15.6,10.7-20.5
H.S. or G.E.D.,88,8.1,6.1-10.1
Some post-H.S.,93,5.7,4.3-7.1
College graduate,46,1.8,1.2-2.4
Pennsylvania,,,
Less than H.S.,18,*,
H.S. or G.E.D.,84,5.7,4.0-7.4
Some post-H.S.,54,3.9,2.2-5.6
College graduate,44,1.7,1.0-2.3
Rhode Island,,,
Less than H.S.,80,23.5,17.6-29.5
H.S. or G.E.D.,92,9.4,6.5-12.2
Some post-H.S.,58,3.2,2.2-4.3
College graduate,45,1.3,0.8-1.9
South Carolina,,,
Less than H.S.,126,24.6,19.7-29.5
H.S. or G.E.D.,210,8.6,7.0-10.2
Some post-H.S.,101,4.9,3.6-6.1
College graduate,53,1.5,1.0-2.1
South Dakota,,,
Less than H.S.,48,11.4,4.8-18.0
H.S. or G.E.D.,93,*,
Some post-H.S.,84,2.2,1.1-3.4
College graduate,36,*,
Tennessee,,,
Less than H.S.,84,23.2,17.4-29.1
H.S. or G.E.D.,143,8.9,7.0-10.7
Some post-H.S.,83,5.0,3.6-6.5
College graduate,41,2.5,1.5-3.5
Texas,,,
Less than H.S.,257,22.2,17.5-26.8
H.S. or G.E.D.,323,9.5,8.0-11.1
Some post-H.S.,194,5.2,3.9-6.5
College graduate,118,2.8,1.9-3.7
Utah,,,
Less than H.S.,32,8.6,5.0-12.1
H.S. or G.E.D.,85,4.0,2.9-5.0
Some post-H.S.,90,3.5,2.6-4.5
College graduate,44,1.1,0.7-1.4
Vermont,,,
Less than H.S.,35,20.7,12.5-29.0
H.S. or G.E.D.,106,7.5,5.7-9.4
Some post-H.S.,91,6.7,4.9-8.5
College graduate,63,1.4,0.9-1.8
Virginia,,,
Less than H.S.,70,19.1,13.8-24.4
H.S. or G.E.D.,113,6.5,4.8-8.3
Some post-H.S.,94,4.4,3.1-5.7
College graduate,69,1.4,0.9-1.9
Washington,,,
Less than H.S.,149,17.5,14.3-20.7
H.S. or G.E.D.,270,5.9,5.0-6.9
Some post-H.S.,300,4.5,3.8-5.2
College graduate,184,1.4,1.2-1.7
West Virginia,,,
Less than H.S.,92,29.4,23.3-35.6
H.S. or G.E.D.,157,9.2,7.5-10.9
Some post-H.S.,71,6.1,4.2-8.1
College graduate,32,2.4,1.4-3.3
Wisconsin,,,
Less than H.S.,76,19.0,14.0-23.9
H.S. or G.E.D.,179,6.3,4.9-7.6
Some post-H.S.,145,3.8,3.0-4.7
College graduate,76,1.9,1.3-2.4
Wyoming,,,
Less than H.S.,17,12.7,6.0-19.4
H.S. or G.E.D.,37,4.1,2.5-5.7
Some post-H.S.,44,4.4,2.6-6.2
College graduate,21,1.4,0.7-2.2
Guam,,,
Less than H.S.,35,23.4,11.0-35.8
H.S. or G.E.D.,81,16.8,10.9-22.8
Some post-H.S.,27,*,
College graduate,18,*,
Puerto Rico,,,
Less than H.S.,366,71.3,66.0-76.5
H.S. or G.E.D.,493,46.3,42.2-50.5
Some post-H.S.,338,26.2,22.8-29.5
College graduate,188,9.9,7.9-11.9
Virgin Islands,,,
Less than H.S.,39,31.9,15.0-48.8
H.S. or G.E.D.,55,*,
Some post-H.S.,20,*,
College graduate,4,*,
