Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,46,15.0,10.0-20.0
H.S. or G.E.D.,162,12.3,10.1-14.5
Some post-H.S.,141,10.5,8.4-12.6
College graduate,90,4.8,3.5-6.2
Alaska,,,
Less than H.S.,15,*,
H.S. or G.E.D.,94,8.8,5.2-12.3
Some post-H.S.,87,9.0,6.5-11.5
College graduate,57,3.9,2.4-5.4
Arizona,,,
Less than H.S.,74,13.4,9.6-17.1
H.S. or G.E.D.,274,11.9,10.0-13.7
Some post-H.S.,293,10.1,8.6-11.6
College graduate,190,5.1,4.1-6.1
Arkansas,,,
Less than H.S.,41,15.8,9.9-21.7
H.S. or G.E.D.,162,12.0,9.7-14.4
Some post-H.S.,157,11.8,9.4-14.2
College graduate,102,6.0,4.2-7.7
California,,,
Less than H.S.,60,14.4,10.2-18.5
H.S. or G.E.D.,85,10.2,7.8-12.7
Some post-H.S.,122,10.9,8.4-13.4
College graduate,80,3.2,2.3-4.1
Colorado,,,
Less than H.S.,51,10.9,7.6-14.2
H.S. or G.E.D.,202,11.5,9.7-13.3
Some post-H.S.,222,9.3,7.9-10.7
College graduate,186,3.8,3.1-4.4
Connecticut,,,
Less than H.S.,58,18.4,12.2-24.6
H.S. or G.E.D.,208,11.8,9.6-14.1
Some post-H.S.,167,8.0,6.1-10.0
College graduate,106,2.3,1.6-3.0
Delaware,,,
Less than H.S.,43,20.4,13.1-27.7
H.S. or G.E.D.,120,13.9,10.6-17.3
Some post-H.S.,97,9.2,6.8-11.5
College graduate,75,4.8,3.3-6.4
District of Columbia,,,
Less than H.S.,17,17.4,8.3-26.4
H.S. or G.E.D.,41,10.2,6.4-14.0
Some post-H.S.,34,9.2,5.3-13.0
College graduate,51,2.0,1.2-2.7
Florida,,,
Less than H.S.,90,13.0,7.6-18.3
H.S. or G.E.D.,371,15.3,12.3-18.3
Some post-H.S.,359,8.9,7.1-10.6
College graduate,252,7.5,5.8-9.2
Georgia,,,
Less than H.S.,71,11.1,7.5-14.8
H.S. or G.E.D.,292,16.0,13.3-18.7
Some post-H.S.,234,9.6,7.6-11.6
College graduate,142,3.9,2.8-4.9
Hawaii,,,
Less than H.S.,28,17.7,10.5-24.9
H.S. or G.E.D.,216,11.3,9.5-13.1
Some post-H.S.,223,8.9,7.4-10.4
College graduate,148,3.8,3.0-4.6
Idaho,,,
Less than H.S.,44,13.1,8.2-18.0
H.S. or G.E.D.,180,14.2,11.5-16.9
Some post-H.S.,213,12.8,10.5-15.1
College graduate,113,5.7,4.3-7.1
Illinois,,,
Less than H.S.,12,*,
H.S. or G.E.D.,62,9.8,7.0-12.6
Some post-H.S.,82,11.2,8.3-14.1
College graduate,47,2.9,1.9-3.9
Indiana,,,
Less than H.S.,58,11.6,8.4-14.8
H.S. or G.E.D.,306,13.2,11.6-14.9
Some post-H.S.,220,10.6,9.0-12.2
College graduate,141,5.1,4.1-6.1
Iowa,,,
Less than H.S.,52,13.6,9.6-17.6
H.S. or G.E.D.,305,12.3,10.8-13.8
Some post-H.S.,243,9.2,7.8-10.5
College graduate,118,3.8,3.0-4.6
Kansas,,,
Less than H.S.,41,13.2,8.6-17.9
H.S. or G.E.D.,301,13.4,11.6-15.1
Some post-H.S.,331,10.3,9.0-11.6
College graduate,208,4.6,3.8-5.4
Kentucky,,,
Less than H.S.,33,12.8,7.5-18.2
H.S. or G.E.D.,120,12.2,9.6-14.7
Some post-H.S.,119,11.6,9.2-14.0
College graduate,55,4.2,2.9-5.6
Louisiana,,,
Less than H.S.,35,13.9,8.4-19.3
H.S. or G.E.D.,137,13.2,10.4-15.9
Some post-H.S.,115,11.4,8.6-14.2
College graduate,84,6.1,4.3-8.0
Maine,,,
Less than H.S.,35,13.9,8.0-19.8
H.S. or G.E.D.,313,13.9,11.5-16.3
Some post-H.S.,317,12.9,10.8-15.0
College graduate,286,6.1,5.0-7.2
Maryland,,,
Less than H.S.,90,18.3,13.6-22.9
H.S. or G.E.D.,388,12.1,10.4-13.8
Some post-H.S.,262,9.0,7.4-10.6
College graduate,206,3.0,2.4-3.6
Massachusetts,,,
Less than H.S.,23,11.2,6.1-16.2
H.S. or G.E.D.,105,8.6,6.6-10.7
Some post-H.S.,125,8.2,6.5-9.9
College graduate,107,3.1,2.3-3.8
Michigan,,,
