Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,109,25.8,20.5-31.2
H.S. or G.E.D.,302,23.2,20.2-26.2
Some post-H.S.,250,18.9,16.2-21.6
College graduate,103,5.7,4.4-7.0
Alaska,,,
Less than H.S.,39,27.9,16.9-38.9
H.S. or G.E.D.,147,15.0,11.4-18.5
Some post-H.S.,120,11.4,8.6-14.2
College graduate,50,3.0,1.9-4.2
Arizona,,,
Less than H.S.,210,36.3,31.1-41.6
H.S. or G.E.D.,489,22.8,20.2-25.4
Some post-H.S.,452,14.6,12.8-16.4
College graduate,217,5.0,4.1-5.8
Arkansas,,,
Less than H.S.,119,36.8,29.3-44.3
H.S. or G.E.D.,358,28.2,24.7-31.7
Some post-H.S.,247,20.7,17.4-24.0
College graduate,124,7.6,5.7-9.4
California,,,
Less than H.S.,94,22.3,17.2-27.4
H.S. or G.E.D.,138,17.3,13.9-20.6
Some post-H.S.,128,11.1,8.6-13.6
College graduate,83,3.3,2.3-4.2
Colorado,,,
Less than H.S.,154,34.2,29.0-39.4
H.S. or G.E.D.,356,19.9,17.7-22.2
Some post-H.S.,311,12.2,10.7-13.8
College graduate,198,4.2,3.5-4.9
Connecticut,,,
Less than H.S.,149,34.5,27.8-41.2
H.S. or G.E.D.,358,17.4,14.9-19.8
Some post-H.S.,243,11.4,9.3-13.6
College graduate,156,3.8,2.7-4.9
Delaware,,,
Less than H.S.,95,22.0,16.4-27.7
H.S. or G.E.D.,229,22.2,18.7-25.6
Some post-H.S.,137,13.3,10.4-16.1
College graduate,72,5.2,3.7-6.7
District of Columbia,,,
Less than H.S.,30,33.4,21.8-45.1
H.S. or G.E.D.,90,25.9,19.9-31.8
Some post-H.S.,84,16.2,11.9-20.6
College graduate,59,2.5,1.7-3.3
Florida,,,
Less than H.S.,301,31.2,24.0-38.4
H.S. or G.E.D.,716,25.6,21.7-29.6
Some post-H.S.,572,15.8,13.3-18.2
College graduate,282,6.6,5.2-8.0
Georgia,,,
Less than H.S.,239,31.2,25.8-36.6
H.S. or G.E.D.,516,22.9,19.9-25.9
Some post-H.S.,360,15.6,13.0-18.4
College graduate,168,4.6,3.5-5.7
Hawaii,,,
Less than H.S.,42,23.1,15.5-30.6
H.S. or G.E.D.,347,19.1,16.7-21.6
Some post-H.S.,299,12.9,11.0-14.8
College graduate,204,5.3,4.4-6.2
Idaho,,,
Less than H.S.,102,38.8,30.5-47.1
H.S. or G.E.D.,284,21.7,18.4-25.0
Some post-H.S.,295,16.6,14.1-19.1
College graduate,117,6.4,4.8-8.0
Illinois,,,
Less than H.S.,31,36.8,23.8-49.8
H.S. or G.E.D.,160,22.2,18.3-26.1
Some post-H.S.,101,12.1,9.3-14.9
College graduate,84,5.2,3.9-6.5
Indiana,,,
Less than H.S.,160,34.7,29.5-39.8
