Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,6,*,
H.S. or G.E.D.,18,2.3,1.1-3.5
Some post-H.S.,22,3.4,1.6-5.1
College graduate,146,13.4,11.1-15.8
Alaska,,,
Less than H.S.,3,*,
H.S. or G.E.D.,34,4.1,2.4-5.8
Some post-H.S.,51,4.7,3.2-6.3
College graduate,222,13.6,11.5-15.8
Arizona,,,
Less than H.S.,2,*,
H.S. or G.E.D.,35,2.1,1.2-3.0
Some post-H.S.,90,5.3,3.9-6.6
College graduate,389,13.6,12.0-15.2
Arkansas,,,
Less than H.S.,2,*,
H.S. or G.E.D.,15,1.3,0.6-2.1
Some post-H.S.,29,2.9,1.6-4.2
College graduate,140,10.9,8.9-12.8
California,,,
Less than H.S.,11,*,
H.S. or G.E.D.,77,6.0,4.4-7.6
Some post-H.S.,146,8.7,6.8-10.5
College graduate,800,24.3,22.1-26.5
Colorado,,,
Less than H.S.,4,*,
H.S. or G.E.D.,53,6.1,4.2-8.0
Some post-H.S.,76,4.9,3.7-6.2
College graduate,637,19.4,17.9-20.9
Connecticut,,,
Less than H.S.,2,*,
H.S. or G.E.D.,71,7.3,5.0-9.5
Some post-H.S.,100,9.3,6.5-12.1
College graduate,825,25.9,23.8-28.0
Delaware,,,
Less than H.S.,0,***,
H.S. or G.E.D.,11,*,
Some post-H.S.,21,3.5,1.7-5.2
College graduate,163,16.1,13.0-19.2
District of Columbia,,,
Less than H.S.,0,***,
H.S. or G.E.D.,10,*,
Some post-H.S.,27,11.4,6.0-16.8
College graduate,605,31.5,28.8-34.1
Florida,,,
Less than H.S.,7,*,
H.S. or G.E.D.,67,4.0,2.4-5.7
Some post-H.S.,96,4.9,3.1-6.6
College graduate,443,14.3,12.0-16.7
Georgia,,,
Less than H.S.,6,*,
H.S. or G.E.D.,40,3.9,2.2-5.7
Some post-H.S.,45,3.3,2.2-4.3
College graduate,356,15.7,13.7-17.6
Hawaii,,,
Less than H.S.,2,*,
H.S. or G.E.D.,42,4.0,2.3-5.7
Some post-H.S.,76,5.7,4.2-7.2
College graduate,365,15.6,13.7-17.5
Idaho,,,
Less than H.S.,3,*,
H.S. or G.E.D.,42,3.3,2.1-4.5
Some post-H.S.,60,4.3,2.9-5.7
College graduate,182,12.0,9.9-14.1
Illinois,,,
Less than H.S.,2,*,
H.S. or G.E.D.,23,3.9,2.2-5.6
Some post-H.S.,39,4.1,2.6-5.5
College graduate,407,20.3,18.2-22.4
Indiana,,,
Less than H.S.,2,*,
H.S. or G.E.D.,46,2.8,1.8-3.8
Some post-H.S.,62,3.7,2.7-4.7
College graduate,325,11.1,9.8-12.4
