Location,n,Percentage,95% CI
Alabama,,,
Less than H.S.,161,31.2,25.6-36.8
H.S. or G.E.D.,294,13.4,11.5-15.2
Some post-H.S.,186,10.2,8.3-12.0
College graduate,72,3.0,2.1-3.9
Alaska,,,
Less than H.S.,27,22.6,12.7-32.5
H.S. or G.E.D.,70,5.5,3.3-7.7
Some post-H.S.,50,6.4,3.1-9.6
College graduate,19,*,
Arizona,,,
Less than H.S.,150,25.5,19.2-31.7
H.S. or G.E.D.,239,8.7,6.7-10.7
Some post-H.S.,252,7.5,6.0-9.1
College graduate,96,2.5,1.6-3.4
Arkansas,,,
Less than H.S.,118,30.7,24.1-37.2
H.S. or G.E.D.,220,14.0,11.3-16.7
Some post-H.S.,118,10.2,7.8-12.6
College graduate,50,2.6,1.6-3.6
California,,,
Less than H.S.,577,34.6,31.7-37.4
H.S. or G.E.D.,389,19.0,16.8-21.1
Some post-H.S.,335,11.4,9.9-12.9
College graduate,231,3.9,3.2-4.6
Colorado,,,
Less than H.S.,60,12.7,9.3-16.2
H.S. or G.E.D.,162,9.6,7.8-11.4
Some post-H.S.,156,6.5,5.3-7.7
College graduate,87,1.8,1.3-2.3
Connecticut,,,
Less than H.S.,98,30.6,24.7-36.5
H.S. or G.E.D.,184,9.7,7.9-11.4
Some post-H.S.,118,6.4,4.8-8.1
College graduate,62,1.8,1.2-2.4
Delaware,,,
Less than H.S.,96,27.2,20.5-33.9
H.S. or G.E.D.,99,9.0,6.2-11.8
Some post-H.S.,67,6.0,4.2-7.8
College graduate,31,1.7,0.8-2.5
District of Columbia,,,
Less than H.S.,41,38.4,26.6-50.1
H.S. or G.E.D.,73,19.8,14.7-24.9
Some post-H.S.,61,14.0,10.0-18.1
College graduate,36,2.4,1.4-3.4
Florida,,,
Less than H.S.,423,34.6,28.6-40.6
H.S. or G.E.D.,574,10.9,8.7-13.0
Some post-H.S.,361,8.2,6.2-10.2
College graduate,129,2.7,1.5-4.0
Georgia,,,
Less than H.S.,239,29.6,24.4-34.7
H.S. or G.E.D.,244,11.4,8.7-14.0
Some post-H.S.,175,8.7,6.9-10.6
College graduate,54,2.0,1.2-2.8
Hawaii,,,
Less than H.S.,61,15.1,10.6-19.6
H.S. or G.E.D.,220,10.2,8.5-11.8
Some post-H.S.,157,6.1,4.9-7.3
College graduate,97,2.3,1.8-2.9
Idaho,,,
Less than H.S.,59,15.8,9.8-21.7
H.S. or G.E.D.,116,7.9,5.8-10.0
Some post-H.S.,124,6.8,5.2-8.5
College graduate,51,2.6,1.3-3.9
Illinois,,,
Less than H.S.,119,31.7,26.1-37.2
H.S. or G.E.D.,127,9.3,7.5-11.1
Some post-H.S.,105,7.3,5.7-8.8
College graduate,63,2.3,1.7-3.0
Indiana,,,
Less than H.S.,158,29.3,24.5-34.2
H.S. or G.E.D.,273,11.3,9.7-12.9
Some post-H.S.,143,7.7,6.3-9.2
College graduate,64,1.9,1.3-2.5
Iowa,,,
Less than H.S.,95,23.3,18.6-28.0
H.S. or G.E.D.,244,8.4,7.2-9.7
Some post-H.S.,167,6.7,5.5-7.9
College graduate,56,1.9,1.3-2.5
Kansas,,,
Less than H.S.,90,22.6,17.4-27.8
H.S. or G.E.D.,235,9.7,8.3-11.2
Some post-H.S.,225,7.7,6.5-8.9
College graduate,77,1.8,1.3-2.2
Kentucky,,,
Less than H.S.,175,39.1,32.1-46.1
H.S. or G.E.D.,242,12.4,10.1-14.8
Some post-H.S.,162,7.8,5.7-9.9
College graduate,58,2.6,1.6-3.6
Louisiana,,,
Less than H.S.,152,40.4,34.2-46.6
H.S. or G.E.D.,222,17.7,15.0-20.4
Some post-H.S.,113,9.9,7.7-12.0
College graduate,43,3.0,1.9-4.1
Maine,,,
Less than H.S.,120,27.8,20.4-35.1
H.S. or G.E.D.,345,9.6,8.0-11.2
Some post-H.S.,196,6.0,4.6-7.4
College graduate,109,2.0,1.4-2.6
Maryland,,,
Less than H.S.,225,26.1,21.4-30.8
H.S. or G.E.D.,393,8.8,7.4-10.1
Some post-H.S.,183,4.8,3.7-5.9
College graduate,117,1.6,1.1-2.1
Massachusetts,,,
Less than H.S.,86,26.4,20.3-32.4
H.S. or G.E.D.,128,9.5,7.6-11.3
Some post-H.S.,105,5.8,4.5-7.1
College graduate,71,1.6,1.1-2.1
Michigan,,,
Less than H.S.,100,30.7,24.4-37.0
H.S. or G.E.D.,283,12.3,10.6-14.0
Some post-H.S.,237,6.9,5.7-8.0
College graduate,95,2.1,1.6-2.7
Minnesota,,,
Less than H.S.,117,18.6,15.0-22.3
H.S. or G.E.D.,244,7.2,6.1-8.3
Some post-H.S.,260,5.5,4.7-6.3
College graduate,100,1.4,1.1-1.8
Mississippi,,,
Less than H.S.,199,34.1,28.5-39.7
H.S. or G.E.D.,240,14.6,12.3-17.0
Some post-H.S.,130,8.4,6.5-10.3
College graduate,52,3.5,2.4-4.6
Missouri,,,
Less than H.S.,140,30.3,24.2-36.3
H.S. or G.E.D.,249,11.9,9.8-14.0
Some post-H.S.,161,7.3,5.6-9.0
College graduate,56,2.6,1.7-3.5
Montana,,,
Less than H.S.,79,28.2,21.3-35.1
H.S. or G.E.D.,186,10.8,9.0-12.7
Some post-H.S.,139,7.8,6.1-9.4
College graduate,80,3.3,2.4-4.3
Nebraska,,,
Less than H.S.,211,22.4,18.6-26.2
H.S. or G.E.D.,526,11.6,10.2-13.0
Some post-H.S.,325,6.7,5.6-7.7
College graduate,119,2.3,1.7-2.8
Nevada,,,
Less than H.S.,43,19.0,12.6-25.4
H.S. or G.E.D.,62,11.4,7.6-15.2
Some post-H.S.,44,4.2,2.6-5.9
College graduate,29,3.6,1.5-5.6
New Hampshire,,,
Less than H.S.,43,21.3,13.6-29.0
H.S. or G.E.D.,147,8.4,6.5-10.3
Some post-H.S.,90,5.4,3.9-6.8
College graduate,47,1.6,1.0-2.2
New Mexico,,,
Less than H.S.,180,31.6,26.5-36.8
H.S. or G.E.D.,227,16.2,13.5-18.9
Some post-H.S.,144,8.8,6.9-10.7
College graduate,87,3.8,2.7-4.9
New York,,,
Less than H.S.,227,29.2,24.8-33.5
H.S. or G.E.D.,364,11.6,9.9-13.3
Some post-H.S.,254,7.7,6.4-9.1
College graduate,157,2.4,1.8-2.9
North Carolina,,,
Less than H.S.,79,23.0,17.6-28.3
H.S. or G.E.D.,89,10.1,7.8-12.4
Some post-H.S.,97,7.9,6.1-9.6
College graduate,33,1.9,1.1-2.6
North Dakota,,,
Less than H.S.,53,18.6,12.2-24.9
H.S. or G.E.D.,124,7.6,5.6-9.7
Some post-H.S.,74,5.3,3.6-7.1
College graduate,21,1.0,0.4-1.6
Ohio,,,
Less than H.S.,206,25.7,20.5-30.9
H.S. or G.E.D.,501,8.9,7.7-10.2
Some post-H.S.,284,8.2,6.7-9.7
College graduate,127,3.2,2.4-4.0
Oklahoma,,,
Less than H.S.,108,23.4,18.6-28.3
H.S. or G.E.D.,192,12.9,10.7-15.1
Some post-H.S.,149,8.6,6.9-10.3
College graduate,34,2.0,1.2-2.9
Oregon,,,
Less than H.S.,54,18.5,13.5-23.5
H.S. or G.E.D.,108,8.9,7.0-10.8
Some post-H.S.,133,7.5,6.1-8.9
College graduate,67,2.9,2.1-3.6
Pennsylvania,,,
Less than H.S.,52,14.6,9.9-19.2
H.S. or G.E.D.,179,8.6,7.1-10.1
Some post-H.S.,115,5.8,4.5-7.1
College graduate,82,2.2,1.7-2.8
Rhode Island,,,
Less than H.S.,91,19.7,14.0-25.4
H.S. or G.E.D.,167,10.8,8.5-13.2
Some post-H.S.,118,6.1,4.5-7.8
College graduate,62,2.1,1.2-2.9
South Carolina,,,
Less than H.S.,206,36.0,30.4-41.5
H.S. or G.E.D.,283,15.3,13.0-17.6
Some post-H.S.,133,7.3,5.7-9.0
College graduate,71,2.8,1.9-3.7
South Dakota,,,
Less than H.S.,75,15.8,7.0-24.5
H.S. or G.E.D.,144,7.2,4.9-9.5
Some post-H.S.,107,6.1,3.8-8.4
College graduate,58,1.6,0.9-2.4
Tennessee,,,
Less than H.S.,172,31.7,26.0-37.4
H.S. or G.E.D.,264,11.9,10.0-13.8
Some post-H.S.,142,8.3,6.3-10.2
College graduate,64,3.3,2.1-4.6
Texas,,,
Less than H.S.,357,29.8,24.3-35.2
H.S. or G.E.D.,385,12.8,10.4-15.2
Some post-H.S.,262,7.5,5.9-9.0
College graduate,114,1.8,1.1-2.5
Utah,,,
Less than H.S.,73,15.1,11.1-19.1
H.S. or G.E.D.,139,5.2,4.1-6.3
Some post-H.S.,163,4.7,3.8-5.5
College graduate,79,1.6,1.1-2.0
Vermont,,,
Less than H.S.,51,22.4,15.3-29.4
H.S. or G.E.D.,163,11.2,8.7-13.7
